ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
KABQ,large_airport,Albuquerque International Sunport,5355,NA,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,"35.039976, -106.608925"
KADW,large_airport,Joint Base Andrews,280,NA,US,US-MD,Camp Springs,KADW,ADW,ADW,"38.810799, -76.866997"
KATL,large_airport,Hartsfield Jackson Atlanta International Airport,1026,NA,US,US-GA,Atlanta,KATL,ATL,ATL,"33.6367, -84.428101"
KAUS,large_airport,Austin Bergstrom International Airport,542,NA,US,US-TX,Austin,KAUS,AUS,AUS,"30.197535, -97.662015"
KBDL,large_airport,Bradley International Airport,173,NA,US,US-CT,Hartford,KBDL,BDL,BDL,"41.93851, -72.688066"
KBNA,large_airport,Nashville International Airport,599,NA,US,US-TN,Nashville,KBNA,BNA,BNA,"36.1245, -86.6782"
KBOS,large_airport,Logan International Airport,20,NA,US,US-MA,Boston,KBOS,BOS,BOS,"42.36197, -71.0079"
KBUF,large_airport,Buffalo Niagara International Airport,728,NA,US,US-NY,Buffalo,KBUF,BUF,BUF,"42.940498, -78.732201"
KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,146,NA,US,US-MD,Baltimore,KBWI,BWI,BWI,"39.1754, -76.668297"
KCLE,large_airport,Cleveland Hopkins International Airport,791,NA,US,US-OH,Cleveland,KCLE,CLE,CLE,"41.411701, -81.8498"
KCLT,large_airport,Charlotte Douglas International Airport,748,NA,US,US-NC,Charlotte,KCLT,CLT,CLT,"35.2140007019043, -80.94309997558594"
KCMA,large_airport,Camarillo International Airport,77,NA,US,US-CA,Camarillo,KCMA,,CMA,"34.213699, -119.094002"
KCMH,large_airport,John Glenn Columbus International Airport,815,NA,US,US-OH,Columbus,KCMH,CMH,CMH,"39.998001, -82.891899"
KCVG,large_airport,Cincinnati Northern Kentucky International Airport,896,NA,US,US-KY,Cincinnati / Covington,KCVG,CVG,CVG,"39.048801, -84.667801"
KDCA,large_airport,Ronald Reagan Washington National Airport,15,NA,US,US-DC,Washington,KDCA,DCA,DCA,"38.8521, -77.037697"
KDEN,large_airport,Denver International Airport,5431,NA,US,US-CO,Denver,KDEN,DEN,DEN,"39.861698150635, -104.672996521"
KDFW,large_airport,Dallas Fort Worth International Airport,607,NA,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW,"32.896801, -97.038002"
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,645,NA,US,US-MI,Detroit,KDTW,DTW,DTW,"42.21377, -83.353786"
KEWR,large_airport,Newark Liberty International Airport,18,NA,US,US-NJ,Newark,KEWR,EWR,EWR,"40.692501, -74.168701"
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9,NA,US,US-FL,Fort Lauderdale,KFLL,FLL,FLL,"26.072599, -80.152702"
KIAD,large_airport,Washington Dulles International Airport,312,NA,US,US-VA,Dulles,KIAD,IAD,IAD,"38.9445, -77.455803"
KIAH,large_airport,George Bush Intercontinental Houston Airport,97,NA,US,US-TX,Houston,KIAH,IAH,IAH,"29.984399795532227, -95.34140014648438"
KIND,large_airport,Indianapolis International Airport,797,NA,US,US-IN,Indianapolis,KIND,IND,IND,"39.7173, -86.294403"
KJAX,large_airport,Jacksonville International Airport,30,NA,US,US-FL,Jacksonville,KJAX,JAX,JAX,"30.492469, -81.687813"
KJFK,large_airport,John F Kennedy International Airport,13,NA,US,US-NY,New York,KJFK,JFK,JFK,"40.639447, -73.779317"
KLAS,large_airport,Harry Reid International Airport,2181,NA,US,US-NV,Las Vegas,KLAS,LAS,LAS,"36.083361, -115.151817"
KLAX,large_airport,Los Angeles International Airport,125,NA,US,US-CA,Los Angeles,KLAX,LAX,LAX,"33.942501, -118.407997"
KLGA,large_airport,LaGuardia Airport,21,NA,US,US-NY,New York,KLGA,LGA,LGA,"40.777199, -73.872597"
KMCI,large_airport,Kansas City International Airport,1026,NA,US,US-MO,Kansas City,KMCI,MCI,MCI,"39.2976, -94.713898"
KMCO,large_airport,Orlando International Airport,96,NA,US,US-FL,Orlando,KMCO,MCO,MCO,"28.429399490356445, -81.30899810791016"
KMDW,large_airport,Chicago Midway International Airport,620,NA,US,US-IL,Chicago,KMDW,MDW,MDW,"41.785999, -87.752403"
KMEM,large_airport,Memphis International Airport,341,NA,US,US-TN,Memphis,KMEM,MEM,MEM,"35.0424, -89.9767"
KMIA,large_airport,Miami International Airport,8,NA,US,US-FL,Miami,KMIA,MIA,MIA,"25.79319953918457, -80.29060363769531"
KMKE,large_airport,General Mitchell International Airport,723,NA,US,US-WI,Milwaukee,KMKE,MKE,MKE,"42.947201, -87.896599"
KMSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,841,NA,US,US-MN,Minneapolis,KMSP,MSP,MSP,"44.880081, -93.221741"
KMSY,large_airport,Louis Armstrong New Orleans International Airport,4,NA,US,US-LA,New Orleans,KMSY,MSY,MSY,"29.993401, -90.258003"
KOAK,large_airport,San Francisco Bay Oakland International Airport,9,NA,US,US-CA,Oakland,KOAK,OAK,OAK,"37.720085, -122.221184"
KOKC,large_airport,Will Rogers World Airport,1295,NA,US,US-OK,Oklahoma City,KOKC,OKC,OKC,"35.393388, -97.598248"
KOMA,large_airport,Eppley Airfield,984,NA,US,US-NE,Omaha,KOMA,OMA,OMA,"41.3032, -95.894096"
KONT,large_airport,Ontario International Airport,944,NA,US,US-CA,Ontario,KONT,ONT,ONT,"34.056, -117.600998"
KORD,large_airport,Chicago O'Hare International Airport,680,NA,US,US-IL,Chicago,KORD,ORD,ORD,"41.9786, -87.9048"
KORF,large_airport,Norfolk International Airport,26,NA,US,US-VA,Norfolk,KORF,ORF,ORF,"36.895341, -76.201"
KPBI,large_airport,Palm Beach International Airport,19,NA,US,US-FL,West Palm Beach,KPBI,PBI,PBI,"26.683201, -80.095596"
KPDX,large_airport,Portland International Airport,31,NA,US,US-OR,Portland,KPDX,PDX,PDX,"45.588699, -122.598"
KPHL,large_airport,Philadelphia International Airport,36,NA,US,US-PA,Philadelphia,KPHL,PHL,PHL,"39.871899, -75.241096"
KPHX,large_airport,Phoenix Sky Harbor International Airport,1135,NA,US,US-AZ,Phoenix,KPHX,PHX,PHX,"33.435302, -112.005905"
KPIT,large_airport,Pittsburgh International Airport,1203,NA,US,US-PA,Pittsburgh,KPIT,PIT,PIT,"40.491501, -80.232903"
KPVD,large_airport,Theodore Francis Green State Airport,55,NA,US,US-RI,Warwick,KPVD,PVD,PVD,"41.725038, -71.425668"
KPWM,large_airport,Portland International Jetport,76,NA,US,US-ME,Portland,KPWM,PWM,PWM,"43.646198, -70.309303"
KRDU,large_airport,Raleigh Durham International Airport,435,NA,US,US-NC,Raleigh/Durham,KRDU,RDU,RDU,"35.877602, -78.787498"
KRIC,large_airport,Richmond International Airport,167,NA,US,US-VA,Richmond,KRIC,RIC,RIC,"37.505199, -77.319702"
KRNO,large_airport,Reno Tahoe International Airport,4415,NA,US,US-NV,Reno,KRNO,RNO,RNO,"39.4991, -119.767998"
KRSW,large_airport,Southwest Florida International Airport,30,NA,US,US-FL,Fort Myers,KRSW,RSW,RSW,"26.53619956970215, -81.75520324707031"
KSAN,large_airport,San Diego International Airport,17,NA,US,US-CA,San Diego,KSAN,SAN,SAN,"32.7336006165, -117.190002441"
KSAT,large_airport,San Antonio International Airport,809,NA,US,US-TX,San Antonio,KSAT,SAT,SAT,"29.533701, -98.469803"
KSAV,large_airport,Savannah Hilton Head International Airport,50,NA,US,US-GA,Savannah,KSAV,SAV,SAV,"32.127602, -81.202103"
KSDF,large_airport,Louisville Muhammad Ali International Airport,501,NA,US,US-KY,Louisville,KSDF,SDF,SDF,"38.1744, -85.736"
KSEA,large_airport,Seattle–Tacoma International Airport,433,NA,US,US-WA,Seattle,KSEA,SEA,SEA,"47.447943, -122.310276"
KSFB,large_airport,Orlando Sanford International Airport,55,NA,US,US-FL,Orlando,KSFB,SFB,SFB,"28.777599334716797, -81.23750305175781"
KSFO,large_airport,San Francisco International Airport,13,NA,US,US-CA,San Francisco,KSFO,SFO,SFO,"37.619806, -122.374821"
KSJC,large_airport,Norman Y. Mineta San Jose International Airport,62,NA,US,US-CA,San Jose,KSJC,SJC,SJC,"37.362452, -121.929188"
KSLC,large_airport,Salt Lake City International Airport,4227,NA,US,US-UT,Salt Lake City,KSLC,SLC,SLC,"40.78886, -111.979866"
KSMF,large_airport,Sacramento International Airport,27,NA,US,US-CA,Sacramento,KSMF,SMF,SMF,"38.6954, -121.591003"
KSNA,large_airport,John Wayne Orange County International Airport,56,NA,US,US-CA,Santa Ana,KSNA,SNA,SNA,"33.675701, -117.867996"
KSRQ,large_airport,Sarasota Bradenton International Airport,30,NA,US,US-FL,Sarasota/Bradenton,KSRQ,SRQ,SRQ,"27.394631, -82.554359"
KSTL,large_airport,St. Louis Lambert International Airport,618,NA,US,US-MO,St Louis,KSTL,STL,STL,"38.748697, -90.370003"
KSYR,large_airport,Syracuse Hancock International Airport,421,NA,US,US-NY,Syracuse,KSYR,SYR,SYR,"43.11119842529297, -76.1063003540039"
KTPA,large_airport,Tampa International Airport,26,NA,US,US-FL,Tampa,KTPA,TPA,TPA,"27.9755, -82.533203"
KTUL,large_airport,Tulsa International Airport,677,NA,US,US-OK,Tulsa,KTUL,TUL,TUL,"36.19839859008789, -95.88809967041016"
PANC,large_airport,Ted Stevens Anchorage International Airport,152,NA,US,US-AK,Anchorage,PANC,ANC,ANC,"61.179004, -149.992561"
PHNL,large_airport,Daniel K Inouye International Airport,13,OC,US,US-HI,Honolulu,PHNL,HNL,HNL,"21.32062, -157.924228"
PHOG,large_airport,Kahului International Airport,54,NA,US,US-HI,Kahului,PHOG,OGG,OGG,"20.896263, -156.431837"
